id,detail_url,province_name,postal_code,bathrooms,bedrooms,size_interior,ammenities,type,price,address
26770102,/real-estate/26770102/4520-prom-paton-701-laval-chomedey-others,Quebec,H7W4X1,1,2,1200.18 sqft,,Apartment,"$599,000","4520 Prom. Paton|#701|Laval (Chomedey), Quebec H7W4X1"
26770101,/real-estate/26770101/rue-du-mont-joli-mont-blanc,Quebec,J0T1J2,,,,,,"$150,000","Rue du Mont-Joli|Mont-Blanc, Quebec J0T1J2"
26770100,/real-estate/26770100/446-route-132-e-sainte-luce-sainte-luce,Quebec,G0K1P0,0,2,,,House,"$194,500","446 Route 132 E.|Sainte-Luce, Quebec G0K1P0"
26770099,/real-estate/26770099/15850-av-desgranges-saint-hyacinthe-la-providence,Quebec,J2T4A6,2,4,,,House,"$499,000","15850 Av. Desgranges|Saint-Hyacinthe, Quebec J2T4A6"
26770098,/real-estate/26770098/rue-principale-petite-rivière-saint-françois,Quebec,G0A2L0,,,,,,"$169,000","Rue Principale|Petite-Rivière-Saint-François, Quebec G0A2L0"
26770096,/real-estate/26770096/21-emanuel-drive-rural-wainwright-no-61-md-of,Alberta,T9W1T5,4,3 + 2,2985 sqft,,House,"$549,900","21 Emanuel Drive|Rural Wainwright No. 61, M.D. of, Alberta T9W1T5"
26770097,/real-estate/26770097/160-imp-des-trèfles-mont-tremblant-village-mont-tremblant,Quebec,J8E0G2,2,3,1409 sqft,,House,"$995,000 +  GST +  QST","160 Imp. des Trèfles|Mont-Tremblant, Quebec J8E0G2"
26770095,/real-estate/26770095/5-rue-de-la-héronnière-eastman,Quebec,J0E1P0,2,2,,,House,"$742,000","5 Rue de la Héronnière|Eastman, Quebec J0E1P0"
26770093,/real-estate/26770093/1410-rue-du-parc-champoux-québec-sainte-foysillerycap-rouge-sillery,Quebec,G1S1L6,2,5,,,House,"$1,117,000","1410 Rue du Parc-Champoux|Québec (Sainte-Foy/Sillery/Cap-Rouge), Quebec G1S1L6"
26770092,/real-estate/26770092/2247-2251-av-walkley-montréal-côte-des-neigesnotre-dame-de-grâce-notre-dame-de-grâce,Quebec,H4B2J9,1,4,,,Multi-Family,"$1,219,000","2247-2251 Av. Walkley|Montréal (Côte-des-Neiges/Notre-Dame-de-Grâce), Quebec H4B2J9"
26770091,/real-estate/26770091/226-rue-des-golfeuses-bromont,Quebec,J2L3H8,2,4,1273.37 sqft,,House,"$595,000","226 Rue des Golfeuses|Bromont, Quebec J2L3H8"
26770090,/real-estate/26770090/24-rue-valois-saint-constant,Quebec,J5A1P5,1,3,1266.91 sqft,,House,"$619,000","24 Rue Valois|Saint-Constant, Quebec J5A1P5"
26770089,/real-estate/26770089/129-route-du-pont-dosquet,Quebec,G0S1H0,1,2,,,House,"$259,000","129 Route du Pont|Dosquet, Quebec G0S1H0"
26770088,/real-estate/26770088/284-rue-deschênes-e-saint-épiphane,Quebec,G0L2X0,2,4,,,House,"$224,900","284 Rue Deschênes E.|Saint-Épiphane, Quebec G0L2X0"
26770087,/real-estate/26770087/av-chantelle-chertsey,Quebec,J0K3K0,,,,,,"$188,000","Av. Chantelle|Chertsey, Quebec J0K3K0"
26770085,/real-estate/26770085/109-ross-st-st-thomas,Ontario,N5R3X8,,,5780 sqft,,,"$499,000","109 ROSS ST|St. Thomas, Ontario N5R3X8"
26770086,/real-estate/26770086/16-lakeview-ave-grimsby,Ontario,L3M3M1,2,2,,,House,"$794,900","16 LAKEVIEW AVE|Grimsby, Ontario L3M3M1"
26770080,/real-estate/26770080/340-oxford-ave-fort-erie,Ontario,L0S1B0,3,3,,,House,"$699,000","340 OXFORD AVE|Fort Erie, Ontario L0S1B0"
26770082,/real-estate/26770082/51-1-miller-dr-lucan-biddulph-lucan,Ontario,N0M2J0,3,3,,,Row / Townhouse,"$559,900","#51 -1 MILLER DR|Lucan Biddulph, Ontario N0M2J0"
26770083,/real-estate/26770083/280-gatehouse-dr-cambridge,Ontario,N1P1E6,3,3 + 1,,,House,"$789,000","280 GATEHOUSE DR|Cambridge, Ontario N1P1E6"
26770072,/real-estate/26770072/1-beatrice-st-st-catharines,Ontario,L2P3Y4,2,2 + 2,,,House,"$638,000","1 BEATRICE ST|St. Catharines, Ontario L2P3Y4"
26770078,/real-estate/26770078/7-camelot-crt-st-catharines,Ontario,L2T3R4,4,3 + 1,,,House,"$1,149,000","7 CAMELOT CRT|St. Catharines, Ontario L2T3R4"
26770073,/real-estate/26770073/85-simms-crt-london-south-t,Ontario,N5Z5E7,3,3 + 2,,,House,"$699,000","85 SIMMS CRT|London, Ontario N5Z5E7"
